se_code,se_name,margin_vol
300395,菲利华,105.58
300397,天和防务,0.15
300398,飞凯材料,0.25
300401,花园生物,0.23
300406,九强生物,9.44
300408,三环集团,1.97
300409,道氏技术,19.59
300418,昆仑万维,1.81
300428,立中集团,3.77
300429,强力新材,0.11
300432,富临精工,36.59
300433,蓝思科技,262.56
300438,鹏辉能源,7.87
300443,金雷股份,3.72
300451,创业慧康,0.10
300456,赛微电子,13.07
300457,赢合科技,10.61
300458,全志科技,2.27
300459,汤姆猫,46.86
300463,迈克生物,48.11
300476,胜宏科技,0.31
300477,合纵科技,14.92
300482,万孚生物,8.89
300487,蓝晓科技,3.60
300497,富祥药业,8.48
300502,新易盛,9.37
300505,川金诺,5.81
300527,中船应急,0.31
300529,健帆生物,2.02
300558,贝达药业,3.75
300567,精测电子,0.24
300568,星源材质,141.95
300573,兴齐眼药,1.86
300579,数字认证,2.65
300581,晨曦航空,1.44
300587,天铁股份,14.41
300593,新雷能,55.33
300595,欧普康视,5.45
300596,利安隆,2.52
300598,诚迈科技,0.48
300601,康泰生物,3.38
300604,长川科技,32.78
300613,富瀚微,3.21
300623,捷捷微电,0.23
300627,华测导航,5.36
300629,新劲刚,1.18
300630,普利制药,0.88
300633,开立医疗,3.91
300639,凯普生物,12.96
300648,星云股份,5.42
300653,正海生物,4.52
300655,晶瑞电材,7.88
300657,弘信电子,6.48
300661,圣邦股份,0.40
300663,科蓝软件,0.22
300666,江丰电子,0.22
300672,国科微,9.30
300674,宇信科技,13.71
300676,华大基因,1.72
300677,英科医疗,15.81
300679,电连技术,0.25
300681,英搏尔,5.38
300682,朗新科技,22.93
300685,艾德生物,16.06
300696,爱乐达,20.20
300699,光威复材,3.60
300709,精研科技,3.00
300724,捷佳伟创,24.02
300725,药石科技,2.10
300726,宏达电子,0.38
300735,光弘科技,0.10
300737,科顺股份,11.49
300738,奥飞数据,8.08
300740,水羊股份,4.68
300741,华宝股份,14.82
300745,欣锐科技,4.90
300747,锐科激光,0.15
300748,金力永磁,0.19
300750,宁德时代,37.49
300751,迈为股份,0.44
300755,华致酒行,2.60
300759,康龙化成,15.60
300760,迈瑞医疗,2.70
300761,立华股份,0.23
300762,上海瀚讯,0.10
300765,新诺威,7.53
300767,震安科技,3.01
300768,迪普科技,0.10
300770,新媒股份,0.11
300772,运达股份,6.30
300775,三角防务,98.60
300776,帝尔激光,5.06
300777,中简科技,28.81
300782,卓胜微,2.98
300803,指南针,4.63
300821,东岳硅材,28.77
300827,上能电气,24.36
300832,新产业,62.31
300841,康华生物,4.33
300842,帝科股份,1.06
300850,新强联,21.38
300855,图南股份,24.02
300860,锋尚文化,0.10
300861,美畅股份,0.30
300866,安克创新,0.20
300867,圣元环保,0.10
300869,康泰医学,1.29
300872,天阳科技,3.10
300890,翔丰华,0.83
300896,爱美客,0.95
300900,广联航空,0.13
300908,仲景食品,0.11
300910,瑞丰新材,0.10
300919,中伟股份,43.82
300942,易瑞生物,0.26
300953,震裕科技,2.12
300957,贝泰妮,4.19
300973,立高食品,0.10
300979,华利集团,0.80
300981,中红医疗,0.10
300997,欢乐家,0.15
300999,金龙鱼,15.20
301015,百洋医药,0.94
301031,中熔电气,0.10
301035,润丰股份,0.10
301039,中集车辆,40.10
301047,义翘神州,0.22
301050,雷电微力,0.10
301060,兰卫医学,0.10
301069,凯盛新材,0.10
301071,力量钻石,0.10
301078,孩子王,0.17
301080,百普赛斯,0.10
301087,可孚医疗,0.10
301089,拓新药业,0.10
301090,华润材料,0.10
301093,华兰股份,3.97
301110,青木股份,0.19
301116,益客食品,1.80
301117,佳缘科技,1.00
301123,奕东电子,0.72
301152,天力锂能,14.90
301153,中科江南,1.12
301155,海力风电,0.11
301166,优宁维,11.00
301177,迪阿股份,20.10
301180,万祥科技,0.10
301195,北路智控,1.92
